Timestamp,1-min._avg,CPUs._avg,Nodes._avg,Procs._avg
1471279706,0,0,0,0
1471279720,0.054125,2,2,0.00625
1471279750,0.02,2,2,0
1471279780,0.018,2,2,0.15625
1471279810,0.0123125,2,2,0.24375
1471279840,0.0498125,2,2,0.18125
1471279870,0.15125,2,2,0
1471279900,0.0439375,2,2,0.1
1471279930,0.035375000000000004,2,2,0.125
1471279960,0.021937499999999995,2,2,0.55625
1471279990,0.041249999999999995,2,2,0.4375
1471280020,0.034875,2,2,0.3125
1471280050,0.1034375,2,2,0.08125
1471280080,0.06462500000000002,2,2,0.15625
1471280110,0.16312500000000002,2,2,0
1471280140,0.0578125,2,2,0.2
1471280170,0.0409375,2,2,0.4375
1471280200,0.025937500000000002,2,2,0.10625
1471280230,0.0684375,2,2,0.53125
1471280260,0.0145625,2,2,0.00625
1471280290,0.0093125,2,2,0.01875
1471280320,0.03725,2,2,0.0625
1471280350,0.13125,2,2,0.0625
1471280380,0.1286875,2,2,0.125
1471280410,0.1044375,2,2,0.08125
1471280440,0.13418750000000002,2,2,0.41875
1471280470,0.0415625,2,2,0.03125
1471280500,0.10400000000000001,2,2,0.10625
1471280530,0.13824999999999998,2,2,0.01875
1471280560,0.133125,2,2,0.00625
1471280590,0.01,2,2,0.28125
1471280620,0.35900000000000004,2,2,0.65
1471280650,0.358875,2,2,0.1375
1471280680,0.4859375,2,2,0.35625
1471280710,0.06812499999999999,2,2,0.0625
1471280740,0.3015625,2,2,0.5125
1471280770,0.24099999999999996,2,2,0.16875
1471280800,0.15525,2,2,0.1125
1471280830,0.01,2,2,0.0625
1471280860,0.0725,2,2,0.0625
1471280890,0.057624999999999996,2,2,0.0375
1471280920,0.0869375,2,2,0.03125
1471280950,0.150625,2,2,0.625
1471280980,0.16118749999999998,2,2,0.1125
1471281010,0.21431250000000004,2,2,0.24375
1471281040,0.217375,2,2,0.15625
1471281070,0.619375,2,2,0.5
1471281100,0.274375,2,2,0.00625
1471281130,0.2855625,2,2,0.30625
1471281160,0.221875,2,2,0.0875
1471281190,0.56625,2,2,0.3125
1471281220,0.2006875,2,2,0.39375
1471281250,0.20350000000000001,2,2,0.2
1471281280,0.21875,2,2,0.0375
1471281310,0.815625,2,2,0.1875
1471281340,0.26125000000000004,2,2,0.2
1471281370,0.247875,2,2,0.11875
1471281400,0.1671875,2,2,0.2
1471281430,0.34875,2,2,0.625
1471281460,0.187375,2,2,0.4
1471281490,0.1775625,2,2,0.0875
1471281520,0.1405,2,2,0.075
1471281550,0.20375,2,2,0.25
1471281580,0.0791875,2,2,0.21875
1471281610,0.1363125,2,2,0.24375
1471281640,0.1724375,2,2,0.11875
1471281670,0.4125,2,2,0.5625
1471281700,0.0865625,2,2,0.25
1471281730,0.06443750000000001,2,2,0.36875
1471281760,0.0409375,2,2,0.325
1471281790,0.053125000000000006,2,2,0.125
1471281820,0.0530625,2,2,0.54375
1471281850,0.0821875,2,2,0.30625
1471281880,0.064375,2,2,0.10625
1471281910,0.01,2,2,0.5625
1471281940,0.07225000000000001,2,2,0.39375
1471281970,0.080125,2,2,0.05625
1471282000,0.056374999999999995,2,2,0.1875
1471282030,0.06375,2,2,0.125
1471282060,0.05874999999999999,2,2,0.20625
1471282090,0.053750000000000006,2,2,0.24375
1471282120,0.042562499999999996,2,2,0.2375
1471282150,0.030625,2,2,0
1471282180,0.11274999999999999,2,2,0.2
1471282210,0.13718750000000002,2,2,0.30625
1471282240,0.0869375,2,2,0.2625
1471282270,0.09937499999999999,2,2,0.0625
1471282300,0.064375,2,2,0.05
1471282330,0.10037499999999999,2,2,0.2625
1471282360,0.0711875,2,2,0.10625
1471282390,0.06812499999999999,2,2,0.8125
1471282420,0.0990625,2,2,0.13125
1471282450,0.13306250000000003,2,2,0.125
1471282480,0.09056249999999999,2,2,0.13125
1471282510,0.01,2,2,0.0625
1471282540,0.11287500000000002,2,2,0.125
1471282570,0.13162500000000002,2,2,0.08125
1471282600,0.08812499999999998,2,2,0.375
1471282630,0.015,2,2,0.25
1471282660,0.12000000000000002,2,2,0.1125
1471282690,0.13625,2,2,0.0875
1471282720,0.09193749999999999,2,2,0.05
1471282750,0,2,2,0.875
1471282780,0.0965,2,2,0.05
1471282810,0.11431250000000001,2,2,0.18125
1471282840,0.093875,2,2,0.125
1471282870,0.053125000000000006,2,2,0.5
1471282900,0.0715625,2,2,0.31875
1471282930,0.081,2,2,0.1125
1471282960,0.05437499999999999,2,2,0.40625
1471282990,0.0675,2,2,0.25
1471283020,0.08181250000000001,2,2,0.325
1471283050,0.13362499999999997,2,2,0.06875
1471283080,0.09337499999999999,2,2,0.10625
1471283110,0.1180625,2,2,0.05625
1471283140,0.12015624999999999,2,2,0.234375
1471283170,0,0,0,0
1471283200,0,0,0,0
1471283230,0,0,0,0
1471283260,0,0,0,0
1471283290,0,0,0,0
